threshold,tn,fp,fn,tp,valor_total,valor_por_cliente,precision,recall,f1
0.05,277,7030,13,914,36745.0,4.462594121933447,0.11505538771399798,0.9859762675296656,0.20606470521925374
0.060000000000000005,525,6782,23,904,36365.0,4.416444012630556,0.11761644548529794,0.9751887810140237,0.20991524439800302
0.07,798,6509,30,897,36347.5,4.414318678649502,0.12111801242236025,0.9676375404530745,0.21528861154446177
0.08000000000000002,1102,6205,44,883,35707.5,4.33659217877095,0.12457674943566592,0.9525350593311759,0.22033686837180286
0.09000000000000001,1442,5865,53,874,35657.5,4.330519795967938,0.1296928327645051,0.9428263214670982,0.22801982781111402
0.1,1837,5470,72,855,34745.0,4.219698809812971,0.13517786561264822,0.9223300970873787,0.23579702151130721
0.11000000000000001,2211,5096,85,842,34380.0,4.175370415350984,0.1417985853822836,0.9083063646170443,0.2453022578295703
0.12000000000000001,2575,4732,101,826,33690.0,4.09157153266942,0.1486146095717884,0.8910463861920173,0.25474171164225135
0.13,2947,4360,120,807,32720.0,3.9737673062909886,0.15618347203406233,0.8705501618122977,0.2648506727929111
0.14,3257,4050,137,790,31795.0,3.8614282244352682,0.16322314049586778,0.8522114347357066,0.273972602739726
0.15000000000000002,3587,3720,151,776,31220.0,3.7915958222006316,0.17259786476868327,0.837108953613808,0.2861884565738521
0.16000000000000003,3922,3385,164,763,30757.5,3.7354262812727717,0.1839440694310511,0.8230852211434736,0.3006896551724138
0.17000000000000004,4202,3105,182,745,29657.5,3.6018338596065096,0.19350649350649352,0.8036677454153183,0.31191124136487336
0.18000000000000005,4481,2826,196,731,28955.0,3.5165168812241925,0.20551026145628337,0.7885652642934197,0.3260481712756467
0.19,4734,2573,211,716,28087.5,3.411161039591936,0.21769534813013075,0.7723840345199569,0.3396584440227704
0.2,4957,2350,224,703,27345.0,3.3209861549672093,0.23026531280707502,0.7583603020496225,0.35326633165829147
0.21000000000000002,5186,2121,239,688,26417.5,3.2083434539713385,0.24492702029191885,0.7421790722761596,0.3683083511777302
0.22000000000000003,5374,1933,252,675,25587.5,3.107541899441341,0.25881901840490795,0.7281553398058253,0.38189533239038187
0.23000000000000004,5534,1773,258,669,25387.5,3.083252368229293,0.273955773955774,0.7216828478964401,0.39715048975957257
0.24000000000000005,5691,1616,266,661,24980.0,3.033762448384746,0.2902942468159859,0.7130528586839266,0.4126092384519351
0.25000000000000006,5815,1492,278,649,24090.0,2.9256740344911343,0.3031293787949556,0.7001078748651565,0.4230769230769231
0.26000000000000006,5914,1393,289,638,23237.5,2.8221399076997815,0.31413096996553425,0.6882416396979504,0.43137254901960786
0.27,6011,1296,295,632,22880.0,2.7787223706582465,0.3278008298755187,0.6817691477885652,0.4427320490367776
0.28,6105,1202,306,621,22015.0,2.6736701481661402,0.3406472846955568,0.6699029126213593,0.4516363636363636
0.29000000000000004,6176,1131,312,615,21592.5,2.6223585134806897,0.35223367697594504,0.6634304207119741,0.4601571268237935
0.30000000000000004,6255,1052,325,602,20490.0,2.4884624726742772,0.3639661426844015,0.6494066882416397,0.4664858581944983
0.31000000000000005,6320,987,332,595,19952.5,2.4231843575418996,0.37610619469026546,0.6418554476806904,0.4742925468314069
0.32000000000000006,6370,937,333,594,19977.5,2.426220548943405,0.3879817112998041,0.6407766990291263,0.48331977217249794
0.33,6409,898,338,589,19575.0,2.3773378673791594,0.3960995292535306,0.6353829557713053,0.487986743993372
0.34,6448,859,342,585,19272.5,2.3405999514209377,0.4051246537396122,0.6310679611650486,0.4934626739772248
0.35000000000000003,6482,825,344,583,19157.5,2.32663347097401,0.4140625,0.6289104638619202,0.4993576017130621
0.36000000000000004,6515,792,347,580,18940.0,2.3002186057809086,0.4227405247813411,0.6256742179072277,0.5045672031317965
0.37000000000000005,6547,760,352,575,18520.0,2.2492105902356085,0.4307116104868914,0.6202804746494067,0.5083996463306808
0.38000000000000006,6569,738,359,568,17875.0,2.1708768520767547,0.4349157733537519,0.6127292340884574,0.5087326466636811
0.39000000000000007,6593,714,364,563,17435.0,2.1174398834102504,0.4408770555990603,0.6073354908306364,0.5108892921960072
0.4000000000000001,6622,685,365,562,17407.5,2.1141000728685935,0.45068163592622296,0.6062567421790723,0.5170193192272309
0.4100000000000001,6639,668,373,554,16650.0,2.0221034734029635,0.4533551554828151,0.5976267529665588,0.5155886458818055
0.42000000000000004,6660,647,376,551,16402.5,1.9920451785280544,0.4599332220367279,0.5943905070118662,0.5185882352941177
0.43000000000000005,6677,630,380,547,16045.0,1.9486276414865193,0.4647408666100255,0.5900755124056095,0.5199619771863118
0.44000000000000006,6689,618,388,539,15275.0,1.8551129463201361,0.4658599827139153,0.5814455231930961,0.517274472168906
0.45000000000000007,6712,595,394,533,14732.5,1.7892275929074568,0.4725177304964539,0.5749730312837109,0.5187347931873479
0.4600000000000001,6728,579,404,523,13772.5,1.6726378430896283,0.4745916515426497,0.564185544768069,0.5155248891079349
0.4700000000000001,6752,555,412,515,13032.5,1.5827665776050521,0.48130841121495327,0.5555555555555556,0.5157736604907361
0.4800000000000001,6771,536,422,505,12080.0,1.4670876852076755,0.4851104707012488,0.5447680690399137,0.5132113821138211
0.49000000000000005,6788,519,433,494,11022.5,1.3386567889239738,0.4876604146100691,0.5329018338727076,0.5092783505154639
0.5000000000000001,6806,501,440,487,10367.5,1.2591085742045178,0.49291497975708504,0.5253505933117584,0.5086161879895561
0.5100000000000001,6816,491,450,477,9392.5,1.1406971095457858,0.4927685950413223,0.5145631067961165,0.5034300791556728
0.5200000000000001,6837,470,458,469,8645.0,1.0499149866407578,0.4994675186368477,0.505933117583603,0.5026795284030011
0.5300000000000001,6858,449,470,457,7497.5,0.9105538013116347,0.5044150110375276,0.4929881337648328,0.49863611565739224
0.5400000000000001,6888,419,489,438,5672.5,0.6889118290017002,0.5110851808634772,0.47249190938511326,0.4910313901345291
0.5500000000000002,6904,403,505,422,4112.5,0.49945348554772895,0.5115151515151515,0.4552319309600863,0.4817351598173516
0.5600000000000002,6921,386,519,408,2755.0,0.3345882924459558,0.5138539042821159,0.4401294498381877,0.47414294015107494
0.5700000000000002,6950,357,534,393,1327.5,0.161221763419966,0.524,0.42394822006472493,0.46869409660107336
0.5800000000000002,6965,342,550,377,-235.0,-0.02854019917415594,0.5243393602225312,0.40668824163969797,0.4580801944106926
0.5900000000000002,6986,321,565,362,-1682.5,-0.2043356813213505,0.5300146412884333,0.39050701186623515,0.4496894409937888
0.6000000000000002,7006,301,578,349,-2932.5,-0.35614525139664804,0.536923076923077,0.37648327939590076,0.4426125554850983
0.6100000000000001,7031,276,594,333,-4470.0,-0.542871022589264,0.5467980295566502,0.3592233009708738,0.43359375
0.6200000000000001,7041,266,610,317,-6045.0,-0.7341510808841389,0.5437392795883362,0.3419633225458468,0.4198675496688742
0.6300000000000001,7055,252,621,306,-7110.0,-0.8634928345882924,0.5483870967741935,0.3300970873786408,0.4121212121212121
0.6400000000000001,7075,232,630,297,-7960.0,-0.9667233422394947,0.5614366729678639,0.32038834951456313,0.40796703296703296
0.6500000000000001,7092,215,640,287,-8917.5,-1.0830094729171726,0.5717131474103586,0.30960086299892126,0.40167949615115467
0.6600000000000001,7111,196,657,270,-10570.0,-1.2837017245567162,0.5793991416309013,0.2912621359223301,0.38765254845656855
0.6700000000000002,7126,181,668,259,-11632.5,-1.412739859120719,0.5886363636363636,0.27939590075512405,0.3789319678127286
0.6800000000000002,7148,159,683,244,-13077.5,-1.5882317221277629,0.6054590570719603,0.2632146709816613,0.3669172932330827
0.6900000000000002,7161,146,698,229,-14545.0,-1.7664561573961624,0.6106666666666667,0.24703344120819848,0.35176651305683565
0.7000000000000002,7176,131,712,215,-15907.5,-1.9319285887782365,0.6213872832369942,0.2319309600862999,0.3377847604084839
0.7100000000000002,7189,118,722,205,-16875.0,-2.0494291960165167,0.6346749226006192,0.22114347357065803,0.328
0.7200000000000002,7200,107,735,192,-18147.5,-2.2039713383531696,0.6421404682274248,0.20711974110032363,0.3132137030995106
0.7300000000000002,7220,87,745,182,-19097.5,-2.319346611610396,0.6765799256505576,0.19633225458468176,0.30434782608695654
0.7400000000000002,7232,75,752,175,-19767.5,-2.4007165411707554,0.7,0.18878101402373246,0.2973661852166525
0.7500000000000002,7246,61,764,163,-20932.5,-2.542203060480933,0.7276785714285714,0.17583603020496225,0.2832319721980886
0.7600000000000002,7252,55,773,154,-21817.5,-2.6496842360942434,0.7368421052631579,0.16612729234088458,0.2711267605633803
0.7700000000000002,7258,49,782,145,-22702.5,-2.757165411707554,0.7474226804123711,0.15641855447680691,0.2586975914362177
0.7800000000000001,7262,45,792,135,-23692.5,-2.8773985912071898,0.75,0.14563106796116504,0.24390243902439024
0.7900000000000001,7270,37,798,129,-24272.5,-2.9478382317221277,0.7771084337349398,0.13915857605177995,0.23604757548032937
0.8000000000000002,7272,35,809,118,-25367.5,-3.0808234151080884,0.7712418300653595,0.1272923408845739,0.21851851851851853
0.8100000000000002,7276,31,819,108,-26357.5,-3.2010565946077243,0.7769784172661871,0.11650485436893204,0.2026266416510319
0.8200000000000002,7280,27,833,94,-27747.5,-3.369868836531455,0.7768595041322314,0.10140237324703344,0.17938931297709923
0.8300000000000002,7286,21,843,84,-28732.5,-3.489494777750789,0.8,0.09061488673139159,0.16279069767441862
0.8400000000000002,7290,17,858,69,-30222.5,-3.670451785280544,0.8023255813953488,0.0744336569579288,0.1362290227048371
0.8500000000000002,7293,14,867,60,-31115.0,-3.7788438183143067,0.8108108108108109,0.06472491909385113,0.11988011988011989
0.8600000000000002,7294,13,877,50,-32112.5,-3.899987855234394,0.7936507936507936,0.05393743257820928,0.10101010101010101
0.8700000000000002,7296,11,885,42,-32907.5,-3.9965387418022833,0.7924528301886793,0.045307443365695796,0.08571428571428572
0.8800000000000002,7299,8,890,37,-33400.0,-4.05635171241195,0.8222222222222222,0.039913700107874865,0.07613168724279835
0.8900000000000002,7303,4,899,28,-34290.0,-4.164440126305562,0.875,0.030204962243797196,0.058394160583941604
0.9000000000000002,7305,2,902,25,-34585.0,-4.200267184843333,0.9259259259259259,0.02696871628910464,0.05241090146750524
0.9100000000000003,7306,1,912,15,-35582.5,-4.32141122176342,0.9375,0.016181229773462782,0.031813361611876985
0.9200000000000003,7306,1,918,9,-36182.5,-4.394279815399563,0.9,0.009708737864077669,0.0192102454642476
0.9300000000000002,7306,1,922,5,-36582.5,-4.442858877823658,0.8333333333333334,0.005393743257820928,0.010718113612004287
0.9400000000000002,7306,1,924,3,-36782.5,-4.467148409035706,0.75,0.003236245954692557,0.00644468313641246
